а	a
ажыбайдын	a zh ih w a j d ih n
ажыдаардын	a zh ih d a a r d ih n
ажынын	a zh ih n ih n
ажыраба	a zh ih r a w a
ажырабагай	a zh ih r a w a gh a j
ажырабаган	a zh ih r a w a gh a n
ажырабай	a zh ih r a w a j
ажырабайм	a zh ih r a w a j m
ажырабайт	a zh ih r a w a j t
ажырабаска	a zh ih r a w a s q a
ажырабоо	a zh ih r a w o o
ажырабоочудай	a zh ih r a w o o tsh u d a j
ажыраган	a zh ih r a gh a n
ажырагандай	a zh ih r a gh a n d a j
ажырагандан	a zh ih r a gh a n d a n
ажырагансып	a zh ih r a gh a n s ih p
ажыраганы	a zh ih r a gh a n ih
ажыраганын	a zh ih r a gh a n ih n
ажырагыс	a zh ih r a gh ih s
ажырай	a zh ih r a j
ажырайт	a zh ih r a j t
ажырап	a zh ih r a p
ажырата	a zh ih r a t a
ажыратабыз	a zh ih r a t a w ih z
ажыратпоону	a zh ih r a t p o o n u
ажыратты	a zh ih r a t t ih
ажыратуучу	a zh ih r a t u u tsh u
ажыратып	a zh ih r a t ih p
ажырашкандан	a zh ih r a sh q a n d a n
ажырашып	a zh ih r a sh ih p
ажыроо	a zh ih r o o
ажыроого	a zh ih r o o gh o
аз	a z
аза	a z a
азабы	a z a w ih
азабын	a z a w ih n
азабынан	a z a w ih n a n
азабынанбы	a z a w ih n a n b ih
азабыңды	a z a w ih ng d ih
азайтты	a z a j t t ih
азайып	a z a j ih p
азамат	a z a m a t
азаматтар	a z a m a t t a r
азаматтардын	a z a m a t t a r d ih n
азаматтын	a z a m a t t ih n
азаматы	a z a m a t ih
азан	a z a n
азанатып	a z a n a t ih p
азапка	a z a p q a
азаптарды	a z a p t a r d ih
азаптарын	a z a p t a r ih n
азаптозогуна	a z a p t o z o gh u n a
азаптозок	a z a p t o z o к
азаптозокту	a z a p t o z o q t u
азаптуу	a z a p t u u
азапты	a z a p t ih
азармандан	a z a r m a n d a n
азаттык	a z a t t ih к
азаттыктын	a z a t t ih q t ih n
азаюуда	a z a j u u d a
азбаган	a z b a gh a n
азга	a z gh a
азгырган	a z gh ih r gh a n
азгырдым	a z gh ih r d ih m
азгырылдымбы	a z gh ih r ih l d ih m b ih
азгырылса	a z gh ih r ih l s a
азгырылып	a z gh ih r ih l ih p
азгырып	a z gh ih r ih p
аздан	a z d a n
аздап	a z d a p
аздыгын	a z d ih gh ih n
аздык	a z d ih к
аздыркөптүр	a z d ih r k oe p t y r
аземдүү	a z e m d y y
азирети	a z i r e t i
азоо	a z o o
азоодой	a z o o d o j
азоочо	a z o o tsh o
азуулуу	a z u u l u u
азуулууга	a z u u l u u gh a
азуусундай	a z u u s u n d a j
азчылыгы	a z tsh ih l ih gh ih
азыгы	a z ih gh ih
азыйына	a z ih j ih n a
азык	a z ih к
азыктүлүккө	a z ih q t y l y k k oe
азынан	a z ih n a n
азыптозбогон	a z ih p t o z b o gh o n
азыр	a z ih r
азыркы	a z ih r q ih
азыркыга	a z ih r q ih gh a
азыркыдай	a z ih r q ih d a j
азыркыдан	a z ih r q ih d a n
азыркылардан	a z ih r q ih l a r d a n
азыртадан	a z ih r t a d a n
азыртан	a z ih r t a n
азырынча	a z ih r ih n tsh a
азышкан	a z ih sh q a n
аиаңдын	a i a ng d ih n
аитмакчысыз	a i t m a q tsh ih s ih z
аитпай	a i t p a j
аиылга	a i ih l gh a
аиын	a i ih n
ай	a j
айбалтанын	a j b a l t a n ih n
айбан	a j b a n
айбанаттары	a j b a n a t t a r ih
айбанга	a j b a n gh a
айбандардын	a j b a n d a r d ih n
айбаттуу	a j b a t t u u
айбаты	a j b a t ih
айбыгуу	a j b ih gh u u
айбыгып	a j b ih gh ih p
айбыкты	a j b ih q t ih
айга	a j gh a
айгине	a j g i n e
айгинелегенсийт	a j g i n e l e g e n s i j t
айгинеленип	a j g i n e l e n i p
айгырдай	a j gh ih r d a j
айгыры	a j gh ih r ih
айгырын	a j gh ih r ih n
айдаган	a j d a gh a n
айдай	a j d a j
айдайт	a j d a j t
айдаке	a j d a k e
айдакемдин	a j d a k e m d i n
айдакең	a j d a k e ng
айдакеңдин	a j d a k e ng d i n
айдалат	a j d a l a t
айдалбай	a j d a l b a j
айдалган	a j d a l gh a n
айдалгандан	a j d a l gh a n d a n
айдалганы	a j d a l gh a n ih
айдалды	a j d a l d ih
айдалууда	a j d a l u u d a
айдалып	a j d a l ih p
айдан	a j d a n
айдап	a j d a p
айдаралы	a j d a r a l ih
айдаса	a j d a s a
айдасаң	a j d a s a ng
айдасаңар	a j d a s a ng a r
айдата	a j d a t a
айдаткан	a j d a t q a n
айдатып	a j d a t ih p
айдашкан	a j d a sh q a n
айдашмак	a j d a sh m a к
айдашып	a j d a sh ih p
айдоо	a j d o o
айдоого	a j d o o gh o
айдоодон	a j d o o d o n
айдоолордун	a j d o o l o r d u n
айдоону	a j d o o n u
айдын	a j d ih n
айдыралы	a j d ih r a l ih
айдыралыга	a j d ih r a l ih gh a
айдыралынын	a j d ih r a l ih n ih n
айдөшүнөн	a j d oe sh y n oe n
айий	a j i j
айкалып	a j q a l ih p
айкалыштыра	a j q a l ih sh t ih r a
айкалыштырып	a j q a l ih sh t ih r ih p
айкалышып	a j q a l ih sh ih p
айкын	a j q ih n
айкындайт	a j q ih n d a j t
айкындыгына	a j q ih n d ih gh ih n a
айкыра	a j q ih r a
айкырыгы	a j q ih r ih gh ih
айкырык	a j q ih r ih к
айкырып	a j q ih r ih p
айкырыпкыйкырып	a j q ih r ih p q ih j q ih r ih p
айкөл	a j k oe l
айла	a j l a
айлага	a j l a gh a
айлам	a j l a m
айлан	a j l a n
айлана	a j l a n a
айланага	a j l a n a gh a
айланадагы	a j l a n a d a gh ih
айланайын	a j l a n a j ih n
айлананы	a j l a n a n ih
айланасы	a j l a n a s ih
айланасын	a j l a n a s ih n
айланасына	a j l a n a s ih n a
айланасынан	a j l a n a s ih n a n
айланасында	a j l a n a s ih n d a
айланат	a j l a n a t
айланбай	a j l a n b a j
айланган	a j l a n gh a n
айлангандай	a j l a n gh a n d a j
айланганын	a j l a n gh a n ih n
айланганына	a j l a n gh a n ih n a
айланды	a j l a n d ih
айландыра	a j l a n d ih r a
айландырган	a j l a n d ih r gh a n
айландырганбы	a j l a n d ih r gh a n b ih
айландырды	a j l a n d ih r d ih
айландырып	a j l a n d ih r ih p
айландырышкан	a j l a n d ih r ih sh q a n
айланмак	a j l a n m a к
айланса	a j l a n s a
айлантат	a j l a n t a t
айланткан	a j l a n t q a n
айлануу	a j l a n u u
айланууда	a j l a n u u d a
айланчыктаганы	a j l a n tsh ih q t a gh a n ih
айланчыктап	a j l a n tsh ih q t a p
айланып	a j l a n ih p
айланышты	a j l a n ih sh t ih
айлап	a j l a p
айласы	a j l a s ih
айласыздан	a j l a s ih z d a n
айласын	a j l a s ih n
айлуу	a j l u u
айлы	a j l ih
айлыбыздын	a j l ih w ih z d ih n
айлык	a j l ih к
айлыма	a j l ih m a
айлымды	a j l ih m d ih
айлын	a j l ih n
айлына	a j l ih n a
айлынан	a j l ih n a n
айлында	a j l ih n d a
айлындагы	a j l ih n d a gh ih
айлындай	a j l ih n d a j
айлынын	a j l ih n ih n
айлыңа	a j l ih ng a
айлыңарга	a j l ih ng a r gh a
айлыңарда	a j l ih ng a r d a
айлыңардан	a j l ih ng a r d a n
айлыңдын	a j l ih ng d ih n
аймактагы	a j m a q t a gh ih
аймалаи	a j m a l a i
аймандай	a j m a n d a j
аймаңдай	a j m a ng d a j
айнабай	a j n a w a j
айнанайын	a j n a n a j ih n
айныба	a j n ih w a
айныган	a j n ih gh a n
айныр	a j n ih r
айнытып	a j n ih t ih p
айра	a j r a
айран	a j r a n
айранга	a j r a n gh a
айранды	a j r a n d ih
айрыкча	a j r ih q tsh a
айрылбайм	a j r ih l b a j m
айрылган	a j r ih l gh a n
айрылуу	a j r ih l u u
айрылуудан	a j r ih l u u d a n
айрылып	a j r ih l ih p
айрым	a j r ih m
айрырдай	a j r ih r d a j
айсалкын	a j s a l q ih n
айсалкынга	a j s a l q ih n gh a
айсалкынды	a j s a l q ih n d ih
айсалкындын	a j s a l q ih n d ih n
айт	a j t
айта	a j t a
айтаары	a j t a a r ih
айтаарын	a j t a a r ih n
айтаарыңар	a j t a a r ih ng a r
айтабы	a j t a w ih
айтагыа	a j t a gh ih a
айтайын	a j t a j ih n
айталааны	a j t a l a a n ih
айталы	a j t a l ih
айтам	a j t a m
айтар	a j t a r
айтарга	a j t a r gh a
айтарлык	a j t a r l ih к
айтары	a j t a r ih
айтарын	a j t a r ih n
айтасыз	a j t a s ih z
айтасың	a j t a s ih ng
айтат	a j t a t
айткан	a j t q a n
айтканбыз	a j t q a n b ih z
айтканда	a j t q a n d a
айткандай	a j t q a n d a j
айткандарын	a j t q a n d a r ih n
айткандарынын	a j t q a n d a r ih n ih n
айткандын	a j t q a n d ih n
айткансыды	a j t q a n s ih d ih
айтканы	a j t q a n ih
айтканым	a j t q a n ih m
айтканымдын	a j t q a n ih m d ih n
айтканын	a j t q a n ih n
айтканына	a j t q a n ih n a
айтканынан	a j t q a n ih n a n
айтканындай	a j t q a n ih n d a j
айтканынын	a j t q a n ih n ih n
айтканың	a j t q a n ih ng
айтканыңдай	a j t q a n ih ng d a j
айтканыңыз	a j t q a n ih ng ih z
айткыла	a j t q ih l a
айткым	a j t q ih m
айткысы	a j t q ih s ih
айтмайынча	a j t m a j ih n tsh a
айтмак	a j t m a к
айтмаксың	a j t m a q s ih ng
айтмакчы	a j t m a q tsh ih
айтор	a j t o r
айтпа	a j t p a
айтпаган	a j t p a gh a n
айтпаганда	a j t p a gh a n d a
айтпады	a j t p a d ih
айтпадым	a j t p a d ih m
айтпадыңыз	a j t p a d ih ng ih z
айтпай	a j t p a j
айтпайбыз	a j t p a j b ih z
айтпаймын	a j t p a j m ih n
айтпайсың	a j t p a j s ih ng
айтпайсыңбы	a j t p a j s ih ng b ih
айтпайт	a j t p a j t
айтпайын	a j t p a j ih n
айтпаса	a j t p a s a
айтпасаң	a j t p a s a ng
айтпасаңар	a j t p a s a ng a r
айтса	a j t s a
айтсак	a j t s a к
айтсам	a j t s a m
айтсаң	a j t s a ng
айтсаңыз	a j t s a ng ih z
айтты	a j t t ih
айттыбы	a j t t ih w ih
айттым	a j t t ih m
айттырбай	a j t t ih r b a j
айттырган	a j t t ih r gh a n
айттыргандарды	a j t t ih r gh a n d a r d ih
айттың	a j t t ih ng
айтуу	a j t u u
айтууга	a j t u u gh a
айтуудан	a j t u u d a n
айтууна	a j t u u n a
айтууну	a j t u u n u
айтуусу	a j t u u s u
айтчу	a j t tsh u
айтчудай	a j t tsh u d a j
айтчы	a j t tsh ih
айтыгаты	a j t ih gh a t ih
айтыке	a j t ih k e
айтыкеге	a j t ih k e g e
айтыкени	a j t ih k e n i
айтыкенин	a j t ih k e n i n
айтыкө	a j t ih k oe
айтылат	a j t ih l a t
айтылбаган	a j t ih l b a gh a n
айтылбаганы	a j t ih l b a gh a n ih
айтылган	a j t ih l gh a n
айтылгандай	a j t ih l gh a n d a j
айтылганын	a j t ih l gh a n ih n
айтылса	a j t ih l s a
айтылуу	a j t ih l u u
айтылчу	a j t ih l tsh u
айтылып	a j t ih l ih p
айтылышын	a j t ih l ih sh ih n
айтымына	a j t ih m ih n a
айтып	a j t ih p
айтыш	a j t ih sh
айтыша	a j t ih sh a
айтышат	a j t ih sh a t
айтышкан	a j t ih sh q a n
айтышканда	a j t ih sh q a n d a
айтышпа	a j t ih sh p a
айтышпады	a j t ih sh p a d ih
айтышпайт	a j t ih sh p a j t
айтышпас	a j t ih sh p a s
айтышса	a j t ih sh s a
айтышты	a j t ih sh t ih
айтыштырмак	a j t ih sh t ih r m a к
айтыштырууга	a j t ih sh t ih r u u gh a
айтышуу	a j t ih sh u u
айтышууга	a j t ih sh u u gh a
айтышууда	a j t ih sh u u d a
айтышуудан	a j t ih sh u u d a n
айтышууну	a j t ih sh u u n u
айтышуунун	a j t ih sh u u n u n
айтышуусун	a j t ih sh u u s u n
айтышцады	a j t ih sh ts a d ih
айтышчуу	a j t ih sh tsh u u
айтышым	a j t ih sh ih m
айтышын	a j t ih sh ih n
айтышып	a j t ih sh ih p
айтың	a j t ih ng
айтыңыз	a j t ih ng ih z
айча	a j tsh a
айчүрөктү	a j tsh y r oe k t y
айыбы	a j ih w ih
айыбым	a j ih w ih m
айыбын	a j ih w ih n
айыгат	a j ih gh a t
айыгып	a j ih gh ih p
айыккан	a j ih q q a n
айыкпаганын	a j ih q p a gh a n ih n
айыктыргандыгы	a j ih q t ih r gh a n d ih gh ih
айыктырсаңыз	a j ih q t ih r s a ng ih z
айыл	a j ih l
айылападагылардын	a j ih l a p a d a gh ih l a r d ih n
айылга	a j ih l gh a
айылда	a j ih l d a
айылдабы	a j ih l d a w ih
айылдагы	a j ih l d a gh ih
айылдагыдан	a j ih l d a gh ih d a n
айылдагылар	a j ih l d a gh ih l a r
айылдагыларга	a j ih l d a gh ih l a r gh a
айылдагылардын	a j ih l d a gh ih l a r d ih n
айылдан	a j ih l d a n
айылдап	a j ih l d a p
айылдар	a j ih l d a r
айылдарга	a j ih l d a r gh a
айылдарда	a j ih l d a r d a
айылдардан	a j ih l d a r d a n
айылдарды	a j ih l d a r d ih
айылдардын	a j ih l d a r d ih n
айылдарын	a j ih l d a r ih n
айылдарына	a j ih l d a r ih n a
айылдарында	a j ih l d a r ih n d a
айылдарындагы	a j ih l d a r ih n d a gh ih
айылдаш	a j ih l d a sh
айылдаштар	a j ih l d a sh t a r
айылдаштардын	a j ih l d a sh t a r d ih n
айылдаштары	a j ih l d a sh t a r ih
айылдашы	a j ih l d a sh ih
айылды	a j ih l d ih
айылдык	a j ih l d ih к
айылдын	a j ih l d ih n
айылы	a j ih l ih
айылым	a j ih l ih m
айылын	a j ih l ih n
айылыңа	a j ih l ih ng a
айым	a j ih m
айымкан	a j ih m q a n
айымканды	a j ih m q a n d ih
айымкандын	a j ih m q a n d ih n
айынан	a j ih n a n
айып	a j ih p
айыпка	a j ih p q a
айыпкер	a j ih p k e r
айыпсыз	a j ih p s ih z
айыптады	a j ih p t a d ih
айыптай	a j ih p t a j
айыпталган	a j ih p t a l gh a n
айыптоого	a j ih p t o o gh o
айыптуу	a j ih p t u u
айыптуумун	a j ih p t u u m u n
айыпты	a j ih p t ih
айырбай	a j ih r b a j
айырма	a j ih r m a
айырмалары	a j ih r m a l a r ih
айырмасы	a j ih r m a s ih
айырмаң	a j ih r m a ng
ак	a к
акбар	a q b a r
акдөбөгө	a q d oe b oe g oe
аке	a k e
акелердин	a k e l e r d i n
акембайда	a k e m b a j d a
акемдердин	a k e m d e r d i n
акесинен	a k e s i n e n
акжолтойлорум	a q zh o l t o j l o r u m
акжуумал	a q zh u u m a l
аккан	a q q a n
акканын	a q q a n ih n
аккуудай	a q q u u d a j
аккууну	a q q u u n u
аккыз	a q q ih z
аккызга	a q q ih z gh a
аккызда	a q q ih z d a
аккызды	a q q ih z d ih
аккыздын	a q q ih z d ih n
аккыс	a q q ih s
аккөңүл	a q k oe ng y l
акмак	a q m a к
акмакка	a q m a q q a
акмакты	a q m a q t ih
акмактыгына	a q m a q t ih gh ih n a
акмактын	a q m a q t ih n
акмакчылык	a q m a q tsh ih l ih к
акмалаган	a q m a l a gh a n
акмалады	a q m a l a d ih
акмалай	a q m a l a j
акмалап	a q m a l a p
акмат	a q m a t
акмын	a q m ih n
аксакал	a q s a q a l
аксакалга	a q s a q a l gh a
аксакалдан	a q s a q a l d a n
аксакалдар	a q s a q a l d a r
аксакалдардан	a q s a q a l d a r d a n
аксакалдардын	a q s a q a l d a r d ih n
аксакалдары	a q s a q a l d a r ih
аксакалдарын	a q s a q a l d a r ih n
аксакалдуу	a q s a q a l d u u
аксакалды	a q s a q a l d ih
аксакалдык	a q s a q a l d ih к
аксакалдын	a q s a q a l d ih n
аксакалы	a q s a q a l ih
аксарбашыл	a q s a r b a sh ih l
аксарыча	a q s a r ih tsh a
аксы	a q s ih
аксыга	a q s ih gh a
аксыда	a q s ih d a
аксыдан	a q s ih d a n
аксынын	a q s ih n ih n
акт	a q t
актай	a q t a j
актала	a q t a l a
акталса	a q t a l s a
актанды	a q t a n d ih
актар	a q t a r
акташкан	a q t a sh q a n
актер	a q t e r
актерлор	a q t e r l o r
актерлорду	a q t e r l o r d u
актерлук	a q t e r l u к
актеру	a q t e r u
активдер	a q t i вd e r
активдерге	a q t i вd e r g e
активдерден	a q t i вd e r d e n
активдерди	a q t i вd e r d i
активдери	a q t i вd e r i
активдерин	a q t i вd e r i n
активдин	a q t i вd i n
актоого	a q t o o gh o
актык	a q t ih к
актыр	a q t ih r
актөш	a q t oe sh
акча	a q tsh a
акчага	a q tsh a gh a
акчамды	a q tsh a m d ih
акчаны	a q tsh a n ih
акчасы	a q tsh a s ih
акчасына	a q tsh a s ih n a
акчаң	a q tsh a ng
акчий	a q tsh i j
акчийге	a q tsh i j g e
акчийдеги	a q tsh i j d e g i
акчийден	a q tsh i j d e n
акчийди	a q tsh i j d i
акчийдин	a q tsh i j d i n
акчыл	a q tsh ih l
акшайы	a q sh a j ih
акшайым	a q sh a j ih m
акшайымга	a q sh a j ih m gh a
акшайымды	a q sh a j ih m d ih
акшайымдын	a q sh a j ih m d ih n
акшыя	a q sh ih j a
акы	a q ih
акыйкат	a q ih j q a t
акыйкаттын	a q ih j q a t t ih n
акыл	a q ih l
акылары	a q ih l a r ih
акылга	a q ih l gh a
акылдагы	a q ih l d a gh ih
акылдаш	a q ih l d a sh
акылдаша	a q ih l d a sh a
акылдашат	a q ih l d a sh a t
акылдашмакчыбыз	a q ih l d a sh m a q tsh ih w ih z
акылдашпай	a q ih l d a sh p a j
акылдашсаң	a q ih l d a sh s a ng
акылдашты	a q ih l d a sh t ih
акылдашуу	a q ih l d a sh u u
акылдашууга	a q ih l d a sh u u gh a
акылдашууну	a q ih l d a sh u u n u
акылдашчу	a q ih l d a sh tsh u
акылдашып	a q ih l d a sh ih p
акылдуу	a q ih l d u u
акылдуулугуң	a q ih l d u u l u gh u ng
акылдуулук	a q ih l d u u l u к
акылдуумун	a q ih l d u u m u n
акылман	a q ih l m a n
акылмандарды	a q ih l m a n d a r d ih
акылманды	a q ih l m a n d ih
акылсыздык	a q ih l s ih z d ih к
акылуу	a q ih l u u
акылы	a q ih l ih
акылым	a q ih l ih m
акылыма	a q ih l ih m a
акылын	a q ih l ih n
акылына	a q ih l ih n a
акылынан	a q ih l ih n a n
акылың	a q ih l ih ng
акылэсинен	a q ih l eh s i n e n
акын	a q ih n
акынга	a q ih n gh a
акындар	a q ih n d a r
акындардын	a q ih n d a r d ih n
акындары	a q ih n d a r ih
акынды	a q ih n d ih
акындыгын	a q ih n d ih gh ih n
акындыкты	a q ih n d ih q t ih
акындын	a q ih n d ih n
акыр	a q ih r
акырайып	a q ih r a j ih p
акырая	a q ih r a j a
акыркы	a q ih r q ih
акыркысы	a q ih r q ih s ih
акыркысынын	a q ih r q ih s ih n ih n
акыры	a q ih r ih
акырым	a q ih r ih m
акырын	a q ih r ih n
акырына	a q ih r ih n a
акырында	a q ih r ih n d a
акырындады	a q ih r ih n d a d ih
акырындап	a q ih r ih n d a p
акырындатты	a q ih r ih n d a t t ih
акырындатып	a q ih r ih n d a t ih p
акырындык	a q ih r ih n d ih к
акысы	a q ih s ih
акысыз	a q ih s ih z
акысын	a q ih s ih n
акысына	a q ih s ih n a
акысынан	a q ih s ih n a n
акыш	a q ih sh
акыы	a q ih ih
акыңарды	a q ih ng a r d ih
акыңыз	a q ih ng ih z
ал	a l
ала	a l a
алааматы	a l a a m a t ih
алаарлык	a l a a r l ih к
алабармандабагыла	a l a w a r m a n d a w a gh ih l a
алабармандабай	a l a w a r m a n d a w a j
алабармандап	a l a w a r m a n d a p
алабула	a l a w u l a
алабы	a l a w ih
алабыз	a l a w ih z
алабызбы	a l a w ih z b ih
алагды	a l a gh d ih
алагыр	a l a gh ih r
алай	a l a j
алайга	a l a j gh a
алайган	a l a j gh a n
алайды	a l a j d ih
алайдын	a l a j d ih n
алайын	a l a j ih n
алайып	a l a j ih p
алакан	a l a q a n
алаканга	a l a q a n gh a
алакандай	a l a q a n d a j
алакандары	a l a q a n d a r ih
алакандарын	a l a q a n d a r ih n
алаканы	a l a q a n ih
алаканын	a l a q a n ih n
алаксыта	a l a q s ih t a
алаксытайын	a l a q s ih t a j ih n
алактаган	a l a q t a gh a n
алактаганына	a l a q t a gh a n ih n a
алактап	a l a q t a p
алакташты	a l a q t a sh t ih
алалбай	a l a l b a j
алалы	a l a l ih
алам	a l a m
аламан	a l a m a n
аламат	a l a m a t
аламбы	a l a m b ih
алар	a l a r
аларга	a l a r gh a
аларда	a l a r d a
алардай	a l a r d a j
алардан	a l a r d a n
аларды	a l a r d ih
алардыкына	a l a r d ih q ih n a
алардын	a l a r d ih n
алардып	a l a r d ih p
аларын	a l a r ih n
аласың	a l a s ih ng
аласыңарбы	a l a s ih ng a r b ih
аласыңбы	a l a s ih ng b ih
алат	a l a t
алачокул	a l a tsh o q u l
алачтын	a l a tsh t ih n
алачык	a l a tsh ih к
алачыкка	a l a tsh ih q q a
алачыктын	a l a tsh ih q t ih n
алая	a l a j a
алаңдап	a l a ng d a p
албаган	a l b a gh a n
албагандай	a l b a gh a n d a j
албагандан	a l b a gh a n d a n
албагандыгы	a l b a gh a n d ih gh ih
албагандыгын	a l b a gh a n d ih gh ih n
албагандыктан	a l b a gh a n d ih q t a n
албагандыр	a l b a gh a n d ih r
албагансып	a l b a gh a n s ih p
албаганы	a l b a gh a n ih
албаганын	a l b a gh a n ih n
албаганына	a l b a gh a n ih n a
албады	a l b a d ih
албадык	a l b a d ih к
албадым	a l b a d ih m
албадыңар	a l b a d ih ng a r
албай	a l b a j
албайбы	a l b a j b ih
албайбыз	a l b a j b ih z
албайм	a l b a j m
албаймын	a l b a j m ih n
албайсың	a l b a j s ih ng
албайт	a l b a j t
албайын	a l b a j ih n
албап	a l b a p
албаптыр	a l b a p t ih r
албарстыга	a l b a r s t ih gh a
